MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367157730,2019-09-08T05:07:19,31.15825,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
368004680,2019-09-08T05:07:26,31.16682,-81.4157,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367691290,2019-09-08T05:08:01,31.14211,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-08T05:09:06,31.1431,-81.49664,0.0,354.7,164.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
538007762,2019-09-08T05:09:43,31.12142,-81.49895,11.7,112.4,111.0,,,,,0.0,,,,,A
367753660,2019-09-08T05:09:30,31.15602,-81.49925,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
369201000,2019-09-08T05:09:07,31.15667,-81.49922,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
338335542,2019-09-08T05:09:49,31.16744,-81.41489,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367762440,2019-09-08T05:09:47,31.15416,-81.49951,0.0,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367063030,2019-09-08T05:09:50,31.11411,-81.4884,0.0,0.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,5.0,51.0,12.0,,60.0,A
311828000,2019-09-08T05:09:55,31.13156,-81.49311,0.0,215.0,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367691290,2019-09-08T05:09:02,31.14213,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
538007762,2019-09-08T05:10:52,31.11995,-81.49497,11.5,113.4,110.0,,,,,0.0,,,,,A
367369550,2019-09-08T05:10:16,31.14311,-81.49663,0.0,84.6,164.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
368004680,2019-09-08T05:10:25,31.16683,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367569620,2019-09-08T05:10:44,31.16719,-81.41448,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
338184094,2019-09-08T05:10:59,31.155,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
369273000,2019-09-08T05:11:15,31.16042,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367369550,2019-09-08T05:11:45,31.1431,-81.49664,0.0,359.4,164.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367305420,2019-09-08T05:11:36,31.12915,-81.5193,2.6,101.1,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367458950,2019-09-08T05:10:56,31.15704,-81.4996,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
367691290,2019-09-08T05:10:22,31.14212,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
538007762,2019-09-08T05:12:04,31.11849,-81.49087,11.8,112.5,110.0,,,,,0.0,,,,,A
367691290,2019-09-08T05:11:33,31.14211,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
538007762,2019-09-08T05:13:13,31.11694,-81.48667,12.1,114.4,113.0,,,,,0.0,,,,,A
338143506,2019-09-08T05:11:57,31.15968,-81.49972,0.0,180.0,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
369201000,2019-09-08T05:12:08,31.15672,-81.49926,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367157730,2019-09-08T05:10:19,31.15828,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367691290,2019-09-08T05:13:03,31.14213,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367063030,2019-09-08T05:12:51,31.11411,-81.4884,0.0,0.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,5.0,51.0,12.0,,60.0,A
368004680,2019-09-08T05:13:25,31.16683,-81.41571,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
338335542,2019-09-08T05:12:48,31.16744,-81.41487,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367369550,2019-09-08T05:12:46,31.1431,-81.49663,0.0,318.8,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
311828000,2019-09-08T05:12:56,31.13156,-81.49311,0.0,190.5,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367157730,2019-09-08T05:13:18,31.15824,-81.4993,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367691290,2019-09-08T05:14:22,31.14211,-81.49643,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367569620,2019-09-08T05:13:45,31.16721,-81.41448,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367458950,2019-09-08T05:13:56,31.15703,-81.49961,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
367369550,2019-09-08T05:14:26,31.14311,-81.49663,0.0,119.0,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367094180,2019-09-08T05:14:01,31.15501,-81.49943,0.0,144.3,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
338184094,2019-09-08T05:14:01,31.155,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
538007762,2019-09-08T05:14:23,31.11536,-81.48255,11.6,114.5,112.0,,,,,0.0,,,,,A
338143506,2019-09-08T05:14:56,31.15968,-81.49973,0.0,264.4,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
339759000,2019-09-08T05:14:49,31.15716,-81.49974,0.0,302.9,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
367691290,2019-09-08T05:15:42,31.14212,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367063030,2019-09-08T05:15:51,31.11411,-81.4884,0.0,0.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,5.0,51.0,12.0,,60.0,A
369201000,2019-09-08T05:15:09,31.15671,-81.49926,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367458950,2019-09-08T05:16:58,31.15704,-81.49959,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
538007762,2019-09-08T05:16:23,31.11277,-81.47548,11.9,114.2,112.0,,,,,0.0,,,,,A
311828000,2019-09-08T05:15:56,31.13156,-81.49311,0.0,210.0,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
338335542,2019-09-08T05:15:50,31.16742,-81.41487,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
538007762,2019-09-08T05:17:53,31.11086,-81.47009,12.1,113.0,111.0,,,,,0.0,,,,,A
369273000,2019-09-08T05:17:15,31.16039,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
