,MMSI,BaseDateTime,LAT,LON,SOG,COG
4550,338184094,2019-09-08T09:31:59,31.155,-81.49958,0.0,115.7
4585,338184094,2019-09-08T09:34:59,31.15501,-81.49958,0.0,115.7
4607,338184094,2019-09-08T09:37:59,31.155,-81.49958,0.0,115.7
4633,338184094,2019-09-08T09:40:59,31.15501,-81.49957,0.0,115.7
4660,338184094,2019-09-08T09:43:59,31.155,-81.49957,0.0,115.7
4688,338184094,2019-09-08T09:46:59,31.155,-81.49957,0.0,115.7
4735,338184094,2019-09-08T09:52:58,31.15501,-81.49959,0.0,115.7
4750,338184094,2019-09-08T09:49:59,31.15501,-81.49958,0.0,115.7
4772,338184094,2019-09-08T09:58:59,31.15501,-81.49958,0.0,115.7
4830,338184094,2019-09-08T10:05:00,31.155,-81.49958,0.0,115.7
4844,338184094,2019-09-08T10:01:59,31.155,-81.49957,0.0,115.7
4864,338184094,2019-09-08T10:08:00,31.15501,-81.49957,0.0,115.7
4892,338184094,2019-09-08T10:10:59,31.155,-81.49957,0.0,115.7
4919,338184094,2019-09-08T10:13:59,31.155,-81.49957,0.0,115.7
4941,338184094,2019-09-08T10:16:59,31.15501,-81.49959,0.0,115.7
4968,338184094,2019-09-08T10:19:59,31.15502,-81.49957,0.0,115.7
4999,338184094,2019-09-08T10:23:02,31.15501,-81.49956,0.0,115.7
5024,338184094,2019-09-08T10:26:00,31.155,-81.49957,0.0,115.7
5045,338184094,2019-09-08T10:29:00,31.15501,-81.49957,0.0,115.7
5091,338184094,2019-09-08T10:35:00,31.15501,-81.49957,0.0,115.7
5107,338184094,2019-09-08T10:38:02,31.15501,-81.49957,0.0,115.7
5138,338184094,2019-09-08T10:41:01,31.15501,-81.49956,0.0,115.7
5158,338184094,2019-09-08T10:43:59,31.155,-81.49956,0.0,115.7
5181,338184094,2019-09-08T10:46:59,31.15501,-81.49957,0.0,115.7
5194,338184094,2019-09-08T10:49:58,31.155,-81.49957,0.0,115.7
5229,338184094,2019-09-08T10:52:59,31.155,-81.49957,0.0,115.7
5256,338184094,2019-09-08T10:56:01,31.15499,-81.49956,0.0,115.7
5264,338184094,2019-09-08T10:58:59,31.15499,-81.49956,0.0,115.7
5304,338184094,2019-09-08T11:01:59,31.15499,-81.49955,0.0,115.7
5327,338184094,2019-09-08T11:05:00,31.15499,-81.49956,0.0,115.7
5351,338184094,2019-09-08T11:07:59,31.15499,-81.49957,0.0,115.7
5382,338184094,2019-09-08T11:10:59,31.155,-81.49956,0.0,115.7
5432,338184094,2019-09-08T11:17:00,31.155,-81.49957,0.0,115.7
5460,338184094,2019-09-08T11:19:59,31.15501,-81.49957,0.0,115.7
5491,338184094,2019-09-08T11:23:01,31.15501,-81.49957,0.0,115.7
5498,338184094,2019-09-08T11:25:59,31.155,-81.49957,0.0,115.7
5535,338184094,2019-09-08T11:28:58,31.15499,-81.49959,0.0,115.7
5564,338184094,2019-09-08T11:31:59,31.155,-81.49957,0.0,115.7
5586,338184094,2019-09-08T11:34:59,31.155,-81.49956,0.0,115.7
5612,338184094,2019-09-08T11:38:01,31.155,-81.49957,0.0,115.7
5629,338184094,2019-09-08T11:41:00,31.155,-81.49957,0.0,115.7
5658,338184094,2019-09-08T11:44:00,31.155,-81.49955,0.0,115.7
5660,338184094,2019-09-08T11:46:59,31.15499,-81.49956,0.0,115.7
5697,338184094,2019-09-08T11:49:59,31.15499,-81.49957,0.0,115.7
5712,338184094,2019-09-08T11:53:00,31.15501,-81.49958,0.0,115.7
