MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316005498,2020-06-01T04:29:06,49.32236,-123.31439,7.7,269.6,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316039164,2020-06-01T04:31:26,49.35601,-123.2717,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
477181300,2020-06-01T04:30:16,49.2994,-123.27383,12.5,251.1,250.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
477181300,2020-06-01T04:31:28,49.29814,-123.27982,12.6,252.6,250.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
316001247,2020-06-01T04:31:13,49.38481,-123.3117,9.4,261.3,252.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316017005,2020-06-01T04:31:13,49.37817,-123.33297,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316005498,2020-06-01T04:31:35,49.32219,-123.3225,7.7,266.5,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
311032100,2020-06-01T04:26:57,49.2952,-123.30643,11.3,227.0,225.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316039164,2020-06-01T04:28:25,49.35601,-123.27169,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
477181300,2020-06-01T04:32:37,49.29691,-123.28576,12.6,250.4,246.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
316001247,2020-06-01T04:32:42,49.38341,-123.31709,9.3,243.6,241.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316020789,2020-06-01T04:28:28,49.3558,-123.27309,0.0,63.2,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316021258,2020-06-01T04:33:19,49.37615,-123.27369,0.0,292.9,511.0,AUXILIARY 1,,,51.0,,,,,,B
316005498,2020-06-01T04:32:45,49.32206,-123.3263,7.6,267.8,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316039164,2020-06-01T04:34:24,49.356,-123.27169,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
316027057,2020-06-01T04:33:46,49.37891,-123.33281,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316005498,2020-06-01T04:33:55,49.32203,-123.33007,7.5,268.6,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:34:32,49.38125,-123.32374,9.5,241.1,240.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
477181300,2020-06-01T04:34:57,49.29387,-123.29731,12.5,246.2,241.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
316001247,2020-06-01T04:35:33,49.38001,-123.32724,8.2,244.1,246.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
477181300,2020-06-01T04:36:08,49.29203,-123.30289,12.5,242.5,240.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
316005498,2020-06-01T04:35:05,49.32201,-123.33387,7.5,270.3,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:36:36,49.3794,-123.32967,3.6,256.5,265.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316039164,2020-06-01T02:31:25,49.35599,-123.27168,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
477181300,2020-06-01T04:37:16,49.29019,-123.30827,12.4,238.0,231.0,CMB PAUILLAC,IMO9615183,VRQS3,70.0,0.0,235.0,38.0,14.5,70.0,A
316005498,2020-06-01T04:36:07,49.32198,-123.33711,7.5,268.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:37:42,49.3793,-123.33056,0.7,274.4,289.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001247,2020-06-01T04:38:54,49.37927,-123.33071,0.0,220.5,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001247,2020-06-01T04:40:03,49.37927,-123.33071,0.0,353.6,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316037287,2020-06-01T04:38:43,49.35636,-123.27151,0.0,356.4,511.0,SLIM SMITTY,IMO0000000,,37.0,,18.0,5.0,,,B
316005498,2020-06-01T04:38:47,49.3218,-123.34562,7.6,270.8,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316005498,2020-06-01T04:39:55,49.3218,-123.34927,7.5,268.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316005498,2020-06-01T04:41:05,49.32168,-123.35304,7.4,267.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:42:22,49.37927,-123.33071,0.0,4.6,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316020789,2020-06-01T04:40:28,49.35577,-123.2731,0.0,63.2,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316001247,2020-06-01T04:43:23,49.37927,-123.33071,0.0,13.6,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:42:26,49.32154,-123.35727,7.4,267.3,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316027057,2020-06-01T04:42:46,49.3789,-123.3328,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316001247,2020-06-01T04:44:53,49.37926,-123.33071,0.0,278.4,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:44:45,49.32142,-123.36461,7.4,268.8,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316027057,2020-06-01T04:45:49,49.3789,-123.33281,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316001247,2020-06-01T04:46:13,49.37926,-123.33071,0.0,208.5,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:45:55,49.32125,-123.36832,7.4,265.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:47:14,49.37926,-123.33072,0.0,203.1,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316017005,2020-06-01T04:46:14,49.37816,-123.33297,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316001247,2020-06-01T04:48:23,49.37926,-123.33072,0.0,276.5,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316008039,2020-06-01T04:47:42,49.35582,-123.27308,0.0,105.7,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316008039,2020-06-01T02:35:41,49.35582,-123.27308,0.0,0.0,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316037287,2020-06-01T04:47:39,49.35636,-123.27152,0.0,356.4,511.0,SLIM SMITTY,IMO0000000,,37.0,,18.0,5.0,,,B
316027057,2020-06-01T04:48:45,49.37889,-123.33283,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316020789,2020-06-01T04:46:28,49.35578,-123.27313,0.3,63.2,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316005498,2020-06-01T04:46:56,49.32116,-123.37148,7.4,268.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316005498,2020-06-01T04:48:26,49.32118,-123.37633,7.5,271.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:49:34,49.37926,-123.33072,0.0,298.6,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316021258,2020-06-01T04:51:19,49.37617,-123.27371,0.0,292.9,511.0,AUXILIARY 1,,,51.0,,,,,,B
316017005,2020-06-01T04:49:12,49.37815,-123.33296,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316001247,2020-06-01T04:50:43,49.37929,-123.32984,5.4,86.2,73.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:49:35,49.32113,-123.37998,7.4,266.3,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316008039,2020-06-01T04:50:40,49.35584,-123.27313,0.0,0.0,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
